orderid,subid,merid
"861029","878181","462"
"861029","878182","557"
"861030","878183","506"
"861031","878184","512"
"861032","878185","502"
"861032","878186","514"
"861032","878187","549"
"861032","878188","552"
"861032","878189","608"
"861032","878190","625"
"861032","878191","652"
"861033","878192","383"
"861033","878193","438"
"861033","878194","512"
"861034","878195","514"
"861034","878196","564"
"861034","878197","655"
"861035","878198","577"
"861037","878201","375"
"861037","878202","314"
"861037","878203","563"
"861037","878204","573"
"861037","878205","466"
"861039","878207","514"
"861039","878208","338"
"861039","878209","578"
"861039","878210","636"
"861039","878211","647"
"861040","878212","476"
"861041","878213","503"
"861041","878214","595"
"861041","878215","629"
"861041","878216","629"
"861041","878217","660"
"861042","878218","488"
"861042","878219","375"
"861042","878220","528"
"861042","878221","534"
"861042","878222","642"
"861042","878223","656"
"861043","878224","348"
"861043","878225","544"
"861043","878226","549"
"861043","878227","652"
"861044","878228","514"
"861044","878229","539"
"861044","878230","314"
"861045","878231","375"
"861046","878232","511"
"861046","878233","375"
"861046","878234","549"
"861046","878235","563"
"861046","878236","610"
"861046","878237","651"
"861046","878238","660"
"861047","878239","653"
"861047","878240","655"
"861048","878241","657"
"861049","878242","503"
"861049","878243","625"
"861050","878244","348"
"861050","878245","569"
"861051","878246","563"
"861052","878247","476"
"861052","878248","503"
"861052","878249","544"
"861052","878250","314"
"861052","878251","660"
"861052","878252","659"
"861053","878253","539"
"861053","878254","623"
"861053","878255","625"
"861053","878256","629"
"861053","878257","635"
"861053","878258","660"
"861054","878259","563"
"861055","878260","635"
"861056","878261","564"
"861057","878262","502"
"861057","878263","651"
"861058","878264","651"
"861058","878265","655"
"861059","878266","348"
"861060","878267","563"
"861060","878268","586"
"861060","878269","635"
"861060","878270","642"
"861060","878271","651"
"861060","878272","653"
"861060","878273","660"
"861061","878274","616"
"861061","878275","635"
"861061","878276","655"
"861063","878279","512"
"861063","878280","534"
"861063","878281","566"
"861063","878282","656"
"861064","878283","392"
"861064","878284","338"
"861064","878285","634"
"861064","878286","659"
"861065","878287","476"
"861065","878288","503"
"861065","878289","511"
"861065","878290","539"
"861065","878291","466"
"861066","878292","450"
"861066","878293","512"
"861066","878294","563"
"861066","878295","595"
"861066","878296","647"
"861067","878297","573"
"861068","878298","653"
"861069","878299","610"
"861070","878300","655"
"861070","878301","634"
"861071","878302","424"
"861071","878303","438"
"861071","878304","514"
"861071","878305","534"
"861072","878306","657"
"861073","878307","441"
"861073","878308","616"
"861073","878309","595"
"861074","878310","385"
"861074","878311","540"
"861074","878312","610"
"861074","878313","466"
"861075","878314","395"
"861075","878315","492"
"861075","878316","512"
"861075","878317","528"
"861075","878318","514"
"861075","878319","610"
"861076","878320","511"
"861076","878321","549"
"861076","878322","513"
"861076","878323","652"
"861077","878324","590"
"861078","878325","506"
"861079","878326","656"
"861080","878327","314"
"861080","878328","590"
"861080","878329","656"
"861081","878330","658"
"861082","878331","492"
"861082","878332","595"
"861083","878333","338"
"861083","878334","392"
"861083","878335","492"
"861083","878336","514"
"861084","878337","375"
"861085","878338","348"
"861085","878339","514"
"861085","878340","514"
"861085","878341","563"
"861085","878342","573"
"861086","878343","533"
"861087","878344","564"
"861088","878345","651"
"861089","878346","658"
"861090","878347","656"
"861091","878348","660"
"861092","878349","657"
"861093","878350","502"
"861094","878351","657"
"861095","878352","533"
"861097","878354","338"
"861097","878355","476"
"861097","878356","578"
"861097","878357","610"
"861097","878358","634"
"861097","878359","633"
"861097","878360","659"
"861099","878362","565"
"861099","878363","577"
"861099","878364","592"
"861100","878365","427"
"861100","878366","512"
"861100","878367","540"
"861100","878368","552"
"861100","878369","557"
"861101","878370","485"
"861101","878371","557"
"861101","878372","573"
"861102","878373","501"
"861103","878374","385"
"861103","878375","427"
"861103","878376","534"
"861103","878377","590"
"861103","878378","634"
"861103","878379","633"
"861103","878380","647"
"861104","878381","635"
"861105","878382","514"
"861105","878383","633"
"861106","878384","634"
"861107","878385","462"
"861107","878386","375"
"861107","878387","517"
"861107","878388","592"
"861107","878389","592"
"861107","878390","595"
"861109","878392","392"
"861109","878393","427"
"861109","878394","501"
"861109","878395","506"
"861109","878396","528"
"861109","878397","544"
"861110","878398","314"
"861110","878399","488"
"861110","878400","564"
"861110","878401","653"
"861110","878402","653"
"861111","878403","481"
"861111","878404","492"
"861111","878405","528"
"861111","878406","595"
"861111","878407","642"
"861112","878408","528"
"861113","878409","514"
"861113","878410","480"
"861113","878411","653"
"861113","878412","655"
"861114","878413","549"
"861115","878414","502"
"861116","878415","565"
"861116","878416","513"
"861117","878417","348"
"861117","878418","653"
"861118","878419","348"
"861118","878420","446"
"861118","878421","557"
"861118","878422","490"
"861119","878423","514"
"861120","878424","348"
"861120","878425","549"
"861120","878426","564"
"861120","878427","338"
"861120","878428","633"
"861121","878429","573"
"861124","878432","383"
"861124","878433","492"
"861124","878434","517"
"861126","878436","610"
"861129","878439","476"
"861130","878440","573"
"861132","878444","435"
"861132","878445","549"
"861133","878446","564"
"861135","878451","512"
"861136","878452","492"
"861137","878453","610"
"861138","878454","446"
"861138","878455","605"
"861138","878456","632"
"861138","878457","653"
"861138","878458","653"
"861139","878459","438"
"861140","878460","348"
"861140","878461","490"
"861140","878462","513"
"861141","878463","608"
"861142","878464","392"
"861142","878465","375"
"861142","878466","581"
"861143","878467","424"
"861143","878468","375"
"861143","878469","338"
"861144","878470","435"
"861145","878471","512"
"861147","878473","348"
"861147","878474","492"
"861147","878475","610"
"861148","878476","511"
"861148","878477","528"
"861148","878478","539"
"861148","878479","607"
"861148","878480","633"
"861149","878481","595"
"861150","878482","657"
"861151","878483","586"
"861152","878484","338"
"861152","878485","655"
"861152","878486","660"
"861152","878487","659"
"861153","878488","394"
"861153","878489","528"
"861153","878490","634"
"861153","878491","636"
"861153","878492","647"
"861155","878494","648"
"861156","878495","338"
"861156","878496","394"
"861156","878497","502"
"861156","878498","549"
"861157","878499","441"
"861157","878500","513"
"861157","878501","561"
"861157","878502","565"
"861157","878503","629"
"861157","878504","657"
"861159","878506","409"
"861159","878507","544"
"861159","878508","657"
"861161","878510","375"
"861162","878511","517"
"861163","878512","476"
"861164","878513","590"
"861165","878514","392"
"861166","878515","646"
"861167","878516","314"
"861167","878517","348"
"861167","878518","564"
"861167","878519","652"
"861168","878520","571"
"861169","878521","573"
"861170","878522","592"
"861171","878523","462"
"861171","878524","511"
"861171","878525","514"
"861171","878526","314"
"861171","878527","590"
"861172","878528","348"
"861172","878529","354"
"861173","878530","446"
"861174","878531","577"
"861175","878532","439"
"861175","878533","511"
"861175","878534","528"
"861175","878535","533"
"861176","878536","409"
"861177","878537","354"
"861178","878538","564"
"861179","878539","573"
"861180","878540","385"
"861180","878541","540"
"861180","878542","629"
"861180","878543","655"
"861181","878544","528"
"861181","878545","514"
"861181","878546","563"
"861181","878547","338"
"861181","878548","610"
"861182","878549","476"
"861183","878550","512"
"861184","878551","630"
"861184","878552","630"
"861185","878553","625"
"861186","878554","480"
"861187","878555","610"
"861188","878556","656"
"861189","878557","492"
"861190","878558","564"
"861192","878560","441"
"861192","878561","502"
"861192","878562","506"
"861192","878563","549"
"861192","878564","590"
"861192","878565","653"
"861193","878566","610"
"861195","878568","348"
"861195","878569","375"
"861195","878570","549"
"861195","878571","435"
"861196","878572","346"
"861196","878573","544"
"861197","878574","314"
"861197","878575","503"
"861197","878576","528"
"861198","878577","659"
"861199","878578","571"
"861200","878579","514"
"861200","878580","557"
"861201","878581","314"
"861201","878582","338"
"861201","878583","610"
"861202","878584","338"
"861204","878586","655"
"861204","878587","657"
"861205","878588","657"
"861206","878589","634"
"861207","878590","549"
"861207","878591","660"
"861208","878592","501"
"861208","878593","502"
"861208","878594","314"
"861208","878595","590"
"861210","878597","502"
"861210","878598","528"
"861210","878599","563"
"861210","878600","629"
"861210","878601","653"
"861211","878602","348"
"861211","878603","462"
"861211","878604","557"
"861212","878605","573"
"861213","878606","392"
"861213","878607","446"
"861213","878608","503"
"861213","878609","635"
"861214","878610","581"
"861214","878611","564"
"861215","878612","492"
"861215","878613","512"
"861215","878614","625"
"861215","878615","566"
"861215","878616","653"
"861215","878617","658"
"861215","878618","660"
"861216","878619","633"
"861217","878620","446"
"861218","878621","375"
"861218","878622","514"
"861219","878623","639"
"861220","878624","395"
"861220","878625","417"
"861220","878626","427"
"861220","878627","539"
"861220","878628","564"
"861220","878629","577"
"861221","878630","395"
"861221","878631","446"
"861221","878632","375"
"861221","878633","610"
"861221","878634","639"
"861222","878635","573"
"861223","878636","492"
"861223","878637","375"
"861224","878638","427"
"861224","878639","441"
"861225","878640","653"
"861225","878641","655"
"861226","878642","385"
"861227","878643","651"
"861229","878645","635"
"861230","878646","610"
"861231","878647","392"
"861231","878648","528"
"861231","878649","490"
"861231","878650","647"
"861232","878651","314"
"861233","878652","590"
"861234","878653","314"
"861235","878654","502"
"861235","878655","563"
"861236","878656","435"
"861236","878657","634"
"861237","878658","651"
"861238","878659","427"
"861238","878660","646"
"861238","878661","660"
"861238","878662","659"
"861239","878663","576"
"861239","878664","576"
"861240","878665","653"
"861241","878666","492"
"861241","878667","528"
"861242","878668","375"
"861242","878669","610"
"861242","878670","634"
"861242","878671","647"
"861243","878672","610"
"861244","878673","427"
"861244","878674","533"
"861244","878675","480"
"861245","878676","502"
"861245","878677","514"
"861245","878678","435"
"861245","878679","634"
"861246","878680","394"
"861246","878681","511"
"861247","878682","610"
"861248","878683","634"
"861248","878684","651"
"861249","878685","552"
"861249","878686","647"
"861250","878687","476"
"861250","878688","572"
"861250","878689","592"
"861250","878690","657"
"861252","878692","646"
"861253","878693","394"
"861253","878694","610"
"861253","878695","595"
"861253","878696","651"
"861253","878697","660"
"861254","878698","610"
"861256","878701","540"
"861258","878703","392"
"861258","878704","534"
"861258","878705","338"
"861260","878707","409"
"861261","878708","348"
"861262","878709","348"
"861262","878710","647"
"861263","878711","656"
"861264","878712","660"
"861264","878713","659"
"861266","878715","573"
"861267","878716","514"
"861267","878717","565"
"861267","878718","513"
"861268","878719","480"
"861269","878720","595"
"861270","878721","394"
"861270","878722","528"
"861270","878723","655"
"861271","878724","608"
"861272","878725","658"
"861275","878729","595"
"861276","878730","512"
"861277","878731","511"
"861277","878732","338"
"861278","878733","512"
"861279","878734","573"
"861280","878735","544"
"861282","878737","656"
"861283","878738","634"
"861284","878739","608"
"861285","878740","646"
"861287","878745","539"
"861288","878746","592"
"861289","878747","581"
"861289","878748","623"
"861289","878749","629"
"861289","878750","642"
"861289","878751","653"
"861289","878752","660"
"861290","878753","392"
"861291","878754","549"
"861291","878755","647"
"861292","878756","354"
"861292","878757","512"
"861292","878758","657"
"861293","878759","646"
"861294","878760","539"
"861294","878761","338"
"861296","878763","438"
"861296","878764","502"
"861296","878765","512"
"861296","878766","608"
"861296","878767","625"
"861296","878768","652"
"861297","878769","354"
"861297","878770","409"
"861297","878771","592"
"861297","878772","592"
"861297","878773","592"
"861297","878774","653"
"861298","878775","610"
"861300","878777","634"
"861300","878778","656"
"861301","878779","652"
"861303","878783","506"
"861303","878784","506"
"861303","878785","466"
"861303","878786","549"
"861303","878787","636"
"861305","878789","657"
"861306","878790","435"
"861307","878791","564"
"861308","878792","573"
"861309","878793","514"
"861309","878794","635"
"861310","878795","435"
"861311","878796","338"
"861311","878797","502"
"861312","878798","646"
"861313","878799","338"
"861314","878800","314"
"861314","878801","338"
"861314","878802","610"
"861314","878803","634"
"861314","878804","656"
"861315","878805","653"
"861316","878806","652"
"861317","878807","346"
"861317","878808","375"
"861317","878809","514"
"861317","878810","338"
"861317","878811","634"
"861318","878812","338"
"861318","878813","647"
"861319","878814","534"
"861319","878815","544"
"861320","878816","375"
"861321","878817","658"
"861322","878818","653"
"861323","878819","528"
"861323","878820","573"
"861323","878821","659"
"861324","878822","506"
"861324","878823","528"
"861324","878824","595"
"861325","878825","314"
"861325","878826","610"
"861325","878827","595"
"861325","878828","634"
"861326","878829","427"
"861326","878830","528"
"861327","878831","409"
"861327","878832","492"
"861328","878833","610"
"861330","878835","595"
"861331","878836","462"
"861331","878837","492"
"861331","878838","595"
"861332","878839","651"
"861333","878840","512"
"861334","878841","314"
"861334","878842","511"
"861335","878843","657"
"861336","878844","424"
"861336","878845","466"
"861336","878846","549"
"861337","878847","385"
"861337","878848","435"
"861337","878849","590"
"861337","878850","652"
"861339","878852","348"
"861340","878853","610"
"861342","878855","405"
"861342","878856","565"
"861343","878857","446"
"861344","878858","314"
"861345","878859","409"
"861345","878860","492"
"861345","878861","528"
"861347","878863","623"
"861348","878864","314"
"861349","878865","462"
"861350","878866","409"
"861350","878867","512"
"861350","878868","610"
"861350","878869","656"
"861351","878870","492"
"861351","878871","544"
"861351","878872","635"
"861351","878873","635"
"861351","878874","655"
"861352","878875","573"
"861353","878876","480"
"861353","878877","506"
"861353","878878","514"
"861354","878879","438"
"861354","878880","534"
"861354","878881","595"
"861354","878882","630"
"861354","878883","653"
"861354","878884","660"
"861355","878885","435"
"861356","878886","571"
"861357","878887","634"
"861358","878888","528"
"861359","878889","549"
"861359","878890","314"
"861359","878891","653"
"861359","878892","656"
"861360","878893","660"
"861360","878894","659"
"861361","878895","660"
"861362","878896","314"
"861362","878897","395"
"861362","878898","595"
"861362","878899","633"
"861362","878900","647"
"861362","878901","651"
"861363","878902","592"
"861363","878903","592"
"861364","878904","658"
"861365","878905","658"
"861366","878906","338"
"861366","878907","549"
"861368","878909","506"
"861368","878910","375"
"861368","878911","514"
"861368","878912","652"
"861368","878913","658"
"861368","878914","660"
"861369","878915","573"
"861370","878916","375"
"861371","878917","338"
"861371","878918","549"
"861372","878919","395"
"861372","878920","446"
"861372","878921","572"
"861373","878922","610"
"861374","878923","501"
"861374","878924","549"
"861374","878925","577"
"861374","878926","608"
"861374","878927","634"
"861375","878928","608"
"861376","878929","595"
"861378","878931","354"
"861378","878932","635"
"861379","878933","549"
"861379","878934","656"
"861381","878936","506"
"861381","878937","533"
"861381","878938","549"
"861382","878939","385"
"861382","878940","392"
"861382","878941","549"
"861382","878942","639"
"861384","878944","450"
"861384","878945","629"
"861384","878946","647"
"861385","878947","385"
"861385","878948","512"
"861385","878949","539"
"861385","878950","466"
"861385","878951","466"
"861385","878952","590"
"861386","878953","314"
"861386","878954","533"
"861386","878955","615"
"861386","878956","634"
"861387","878957","573"
"861388","878958","383"
"861388","878959","660"
"861388","878960","651"
"861389","878961","375"
"861389","878962","577"
"861390","878963","549"
"861390","878964","572"
"861390","878965","634"
"861390","878966","658"
"861391","878967","595"
"861392","878968","385"
"861393","878969","424"
"861393","878970","539"
"861393","878971","544"
"861394","878972","480"
"861395","878973","573"
"861396","878974","544"
"861397","878975","610"
"861398","878976","338"
"861398","878977","579"
"861398","878978","630"
"861398","878979","635"
"861399","878980","549"
"861399","878981","610"
"861400","878982","492"
"861401","878983","564"
"861402","878984","424"
"861402","878985","502"
"861402","878986","514"
"861402","878987","544"
"861402","878988","590"
"861402","878989","595"
"861403","878990","511"
"861403","878991","533"
"861403","878992","466"
"861403","878993","595"
"861405","879001","338"
"861405","879002","610"
"861405","879003","651"
"861406","879004","338"
"861406","879005","655"
"861407","879006","441"
"861407","879007","633"
"861407","879008","656"
"861408","879009","571"
"861409","879010","630"
"861410","879011","571"
"861411","879012","485"
"861411","879013","490"
"861412","879014","528"
"861413","879015","573"
"861414","879016","634"
"861414","879017","657"
"861415","879018","450"
"861415","879019","492"
"861415","879020","514"
"861415","879021","338"
"861415","879022","623"
"861417","879031","375"
"861417","879032","528"
"861417","879033","577"
"861417","879034","610"
"861418","879035","435"
"861418","879036","438"
"861418","879037","595"
"861418","879038","634"
"861418","879039","652"
"861419","879040","346"
"861419","879041","528"
"861419","879042","544"
"861419","879043","564"
"861419","879044","586"
"861419","879045","629"
"861420","879046","539"
"861420","879047","657"
"861421","879048","549"
"861423","879050","480"
"861423","879051","511"
"861423","879052","375"
"861424","879053","528"
"861424","879054","653"
"861425","879055","375"
"861426","879056","595"
"861427","879057","573"
"861430","879061","610"
"861431","879062","480"
"861432","879063","634"
"861434","879065","573"
"861436","879067","610"
"861437","879068","314"
"861437","879069","549"
"861438","879070","492"
"861438","879071","375"
"861438","879072","564"
"861438","879073","610"
"861438","879074","608"
"861438","879075","595"
"861438","879076","651"
"861438","879077","653"
"861438","879078","658"
"861438","879079","634"
"861439","879080","314"
"861440","879081","395"
"861440","879082","409"
"861440","879083","446"
"861440","879084","577"
"861441","879085","634"
"861442","879086","383"
"861442","879087","544"
"861442","879088","634"
"861442","879089","651"
"861443","879090","395"
"861444","879091","610"
"861445","879092","514"
"861445","879093","514"
"861446","879094","354"
"861447","879095","573"
"861448","879096","592"
"861448","879097","635"
"861449","879098","539"
"861449","879099","629"
"861449","879100","653"
"861449","879101","655"
"861450","879102","549"
"861451","879103","338"
"861451","879104","348"
"861451","879105","492"
"861451","879106","514"
"861452","879107","610"
"861453","879108","572"
"861453","879109","573"
"861453","879110","633"
"861453","879111","635"
"861454","879112","549"
"861454","879113","658"
"861457","879116","502"
"861457","879117","480"
"861457","879118","590"
"861457","879119","610"
"861457","879120","608"
"861457","879121","636"
"861458","879122","657"
"861459","879123","446"
"861460","879124","577"
"861461","879125","635"
"861463","879131","405"
"861463","879132","656"
"861464","879133","511"
"861464","879134","314"
"861464","879135","655"
"861465","879136","528"
"861467","879138","511"
"861467","879139","517"
"861468","879140","354"
"861468","879141","427"
"861468","879142","438"
"861468","879143","512"
"861468","879144","549"
"861468","879145","490"
"861468","879146","635"
"861469","879147","450"
"861470","879148","503"
"861470","879149","511"
"861470","879150","533"
"861470","879151","552"
"861470","879152","574"
"861470","879153","480"
"861471","879154","511"
"861471","879155","659"
"861472","879156","480"
"861472","879157","506"
"861472","879158","549"
"861472","879159","574"
"861472","879160","630"
"861472","879161","652"
"861474","879164","634"
"861475","879165","375"
"861475","879166","513"
"861475","879167","549"
"861475","879168","657"
"861476","879169","435"
"861477","879170","653"
"861478","879171","514"
"861478","879172","552"
"861478","879173","314"
"861478","879174","630"
"861479","879175","314"
"861482","879182","657"
"861483","879183","557"
"861483","879184","573"
"861485","879186","438"
"861485","879187","657"
"861486","879188","435"
"861488","879190","385"
"861488","879191","582"
"861489","879192","375"
"861489","879193","607"
"861489","879194","595"
"861491","879196","506"
"861491","879197","629"
"861492","879198","424"
"861492","879199","549"
"861492","879200","623"
"861492","879201","652"
"861493","879202","610"
"861494","879203","552"
"861494","879204","314"
"861494","879205","557"
"861494","879206","608"
"861494","879207","629"
"861495","879208","647"
"861496","879209","392"
"861496","879210","512"
"861496","879211","511"
"861496","879212","314"
"861496","879213","632"
"861496","879214","659"
"861497","879215","348"
"861497","879216","383"
"861497","879217","338"
"861497","879218","490"
"861497","879219","610"
"861497","879220","633"
"861497","879221","651"
"861499","879223","573"
"861500","879224","635"
"861501","879225","595"
"861501","879226","566"
"861501","879227","566"
"861502","879228","590"
"861503","879229","648"
"861504","879230","647"
"861505","879231","595"
"861505","879232","625"
"861506","879233","435"
"861507","879234","338"
"861508","879235","592"
"861508","879236","592"
"861509","879237","435"
"861509","879238","338"
"861509","879239","595"
"861509","879240","636"
"861510","879241","625"
"861511","879242","577"
"861512","879243","338"
"861512","879244","549"
"861512","879245","435"
"861512","879246","610"
"861512","879247","652"
"861513","879248","528"
"861514","879249","338"
"861514","879250","435"
"861515","879251","549"
"861515","879252","435"
"861516","879253","647"
"861517","879254","375"
"861518","879255","338"
"861518","879256","506"
"861518","879257","506"
"861518","879258","511"
"861518","879259","574"
"861518","879260","642"
"861520","879266","658"
"861521","879267","528"
"861522","879268","573"
"861523","879269","348"
"861523","879270","441"
"861523","879271","514"
"861523","879272","577"
"861523","879273","623"
"861524","879274","338"
"861524","879275","506"
"861524","879276","528"
"861524","879277","544"
"861524","879278","608"
"861524","879279","660"
"861525","879280","549"
"861525","879281","634"
"861525","879282","656"
"861525","879283","658"
"861526","879284","647"
"861527","879285","435"
"861528","879286","572"
"861529","879287","492"
"861529","879288","623"
"861529","879289","608"
"861530","879290","338"
"861530","879291","375"
"861530","879292","528"
"861530","879293","610"
"861531","879294","528"
"861532","879295","656"
"861533","879296","346"
"861534","879297","610"
"861535","879298","552"
"861535","879299","590"
"861535","879300","655"
"861535","879301","660"
"861537","879303","338"
"861537","879304","517"
"861537","879305","610"
"861537","879306","634"
"861537","879307","466"
"861537","879308","660"
"861538","879309","655"
"861539","879310","552"
"861539","879311","651"
"861539","879312","652"
"861539","879313","634"
"861539","879314","659"
"861540","879315","549"
"861540","879316","655"
"861541","879317","492"
"861542","879318","314"
"861542","879319","610"
"861542","879320","634"
"861542","879321","660"
"861543","879322","476"
"861543","879323","623"
"861543","879324","595"
"861544","879325","348"
"861545","879326","534"
"861545","879327","634"
"861545","879328","636"
"861545","879329","658"
"861546","879330","392"
"861546","879331","480"
"861546","879332","506"
"861546","879333","528"
"861547","879334","392"
"861547","879335","492"
"861547","879336","501"
"861547","879337","375"
"861547","879338","528"
"861547","879339","549"
"861547","879340","595"
"861547","879341","658"
"861548","879342","610"
"861550","879344","610"
"861551","879345","492"
"861551","879346","565"
"861551","879347","610"
"861551","879348","595"
"861552","879349","590"
"861554","879351","427"
"861555","879352","348"
"861555","879353","435"
"861555","879354","656"
"861556","879355","383"
"861556","879356","480"
"861556","879357","502"
"861556","879358","633"
"861556","879359","651"
"861556","879360","653"
"861556","879361","660"
"861557","879362","595"
"861558","879363","657"
"861559","879364","656"
"861560","879365","647"
"861561","879366","563"
"861562","879367","539"
"861562","879368","549"
"861562","879369","338"
"861562","879370","642"
"861563","879371","533"
"861563","879372","656"
"861564","879373","438"
"861564","879374","595"
"861565","879375","488"
"861565","879376","514"
"861565","879377","577"
"861565","879378","657"
"861565","879379","658"
"861566","879380","658"
"861567","879381","652"
"861568","879382","647"
"861569","879383","512"
"861570","879384","572"
"861571","879385","528"
"861572","879386","338"
"861573","879387","655"
"861574","879388","427"
"861574","879389","314"
"861574","879390","590"
"861574","879391","657"
"861575","879392","656"
"861577","879394","338"
"861579","879396","634"
"861580","879397","435"
"861581","879398","438"
"861581","879399","506"
"861581","879400","534"
"861581","879401","578"
"861581","879402","566"
"861581","879403","660"
"861582","879404","633"
"861584","879406","435"
"861585","879407","592"
"861585","879408","607"
"861585","879409","623"
"861586","879410","338"
"861586","879412","592"
"861586","879413","630"
"861586","879414","635"
"861586","879415","635"
"861586","879416","652"
"861586","879417","656"
"861587","879411","375"
"861588","879418","512"
"861590","879422","427"
"861590","879423","653"
"861591","879424","595"
"861592","879425","354"
"861592","879426","572"
"861592","879427","656"
"861592","879428","660"
"861593","879429","375"
"861593","879430","512"
"861593","879431","561"
"861593","879432","564"
"861593","879433","634"
"861593","879434","636"
"861594","879435","634"
"861595","879436","417"
"861595","879437","446"
"861595","879438","544"
"861595","879439","490"
"861595","879440","635"
"861596","879441","405"
"861596","879442","503"
"861596","879443","552"
"861597","879444","517"
"861597","879445","605"
"861597","879446","653"
"861598","879447","636"
"861599","879448","539"
"861600","879449","314"
"861600","879450","512"
"861600","879451","573"
"861600","879452","623"
"861600","879453","660"
"861601","879454","503"
"861601","879455","549"
"861603","879457","375"
"861604","879458","512"
"861605","879459","385"
"861605","879460","549"
"861605","879461","653"
"861605","879462","655"
"861606","879463","394"
"861606","879464","563"
"861606","879465","647"
"861608","879467","647"
"861609","879468","634"
"861611","879471","647"
"861612","879472","563"
"861612","879473","656"
"861613","879474","503"
"861613","879475","506"
"861613","879476","528"
"861613","879477","533"
"861613","879478","629"
"861614","879479","348"
"861615","879480","338"
"861616","879481","348"
"861616","879482","492"
"861616","879483","512"
"861618","879485","656"
"861619","879486","533"
"861619","879487","651"
"861619","879488","653"
"861620","879489","595"
"861621","879490","375"
"861622","879491","528"
"861624","879493","375"
"861627","879496","655"
"861627","879497","659"
"861628","879498","517"
"861628","879499","608"
"861628","879500","655"
"861628","879501","652"
"861629","879502","625"
"861630","879503","435"
"861631","879504","375"
"861631","879505","590"
"861631","879506","610"
"861631","879507","656"
"861632","879508","634"
"861633","879509","540"
"861633","879510","623"
"861635","879512","409"
"861635","879513","544"
"861635","879514","549"
"861635","879515","610"
"861635","879516","635"
"861637","879518","511"
"861638","879519","492"
"861638","879520","595"
"861639","879521","435"
"861639","879522","503"
"861639","879523","511"
"861639","879524","514"
"861639","879525","659"
"861640","879526","514"
"861641","879527","514"
"861641","879528","660"
"861642","879529","338"
"861642","879530","409"
"861642","879531","506"
"861642","879532","528"
"861644","879535","492"
"861645","879536","395"
"861645","879537","655"
"861645","879538","660"
"861645","879539","659"
"861646","879540","635"
"861646","879541","635"
"861647","879542","338"
"861648","879543","514"
"861648","879544","595"
"861649","879545","595"
"861650","879546","655"
"861651","879547","660"
"861652","879548","338"
"861652","879549","348"
"861652","879550","383"
"861652","879551","503"
"861652","879552","616"
"861652","879553","633"
"861653","879554","501"
"861653","879555","634"
"861653","879556","635"
"861653","879557","656"
"861654","879558","514"
"861654","879559","514"
"861655","879560","651"
"861656","879561","338"
"861656","879562","492"
"861656","879563","501"
"861656","879564","512"
"861656","879565","557"
"861658","879567","435"
"861659","879568","503"
"861659","879569","549"
"861659","879570","595"
"861660","879571","608"
"861661","879572","573"
"861664","879575","348"
"861664","879576","394"
"861665","879577","595"
"861666","879578","375"
"861666","879579","539"
"861666","879580","576"
"861666","879581","466"
"861667","879582","603"
"861668","879583","385"
"861669","879584","608"
"861670","879585","514"
"861672","879587","633"
"861675","879590","647"
"861676","879591","549"
"861677","879592","485"
"861677","879593","577"
"861679","879595","417"
"861679","879596","577"
"861679","879597","647"
"861680","879598","385"
"861680","879599","435"
"861680","879600","647"
"861680","879601","651"
"861680","879602","653"
"861680","879603","653"
"861680","879604","652"
"861681","879605","506"
"861681","879606","634"
"861681","879607","656"
"861681","879608","657"
"861682","879609","573"
"861683","879610","492"
"861683","879611","623"
"861684","879612","392"
"861684","879613","375"
"861684","879614","514"
"861684","879615","561"
"861687","879620","634"
"861688","879621","563"
"861689","879622","395"
"861689","879623","544"
"861689","879624","576"
"861689","879625","595"
"861690","879626","501"
"861690","879627","490"
"861690","879628","629"
"861690","879629","633"
"861690","879630","651"
"861691","879631","405"
"861691","879632","375"
"861691","879633","552"
"861691","879634","314"
"861691","879635","656"
"861692","879636","511"
"861692","879637","590"
"861692","879638","652"
"861693","879639","514"
"861693","879640","480"
"861693","879641","623"
"861693","879642","657"
"861695","879644","660"
"861696","879645","338"
"861696","879646","348"
"861696","879647","492"
"861696","879648","375"
"861696","879649","514"
"861696","879650","514"
"861696","879651","657"
"861698","879653","314"
"861698","879654","590"
"861698","879655","629"
"861699","879656","653"
"861699","879657","655"
"861700","879658","435"
"861701","879659","446"
"861701","879660","539"
"861701","879661","549"
"861701","879662","435"
"861701","879663","653"
"861702","879664","446"
"861702","879665","462"
"861702","879666","492"
"861702","879667","501"
"861702","879668","528"
"861702","879669","595"
"861702","879670","657"
"861703","879671","512"
"861703","879672","549"
"861703","879673","647"
"861703","879674","657"
"861703","879675","634"
"861704","879676","492"
"861704","879677","506"
"861704","879678","595"
"861704","879679","625"
"861704","879680","660"
"861706","879682","511"
"861706","879683","646"
"861707","879684","385"
"861708","879685","375"
"861710","879687","394"
"861710","879688","533"
"861711","879689","501"
"861711","879690","563"
"861714","879693","492"
"861714","879694","512"
"861715","879695","647"
"861717","879697","533"
"861720","879705","314"
"861720","879706","608"
"861721","879707","314"
"861722","879708","492"
"861723","879709","383"
"861723","879710","392"
"861723","879711","511"
"861723","879712","633"
"861724","879713","492"
"861724","879714","375"
"861724","879715","540"
"861724","879716","549"
"861724","879717","595"
"861726","879719","338"
"861726","879720","528"
"861726","879721","314"
"861726","879722","623"
"861726","879723","629"
"861726","879724","634"
"861726","879725","651"
"861727","879726","492"
"861727","879727","514"
"861727","879728","655"
"861727","879729","657"
